user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
9,ES2006c,2.37,C,Excellent.,POSITIVE,29,Being positive,"This is a positive statement, and would reinforce good behavior.",2021-01-29 14:01:53.557153+00:00
9,ES2006c,65.14,C,Let's hope the pen holds out.,POSITIVE,4,Being positive,"This is a humorous line, and encourages lightheartedness during the meeting.",2021-01-29 14:02:46.056921+00:00
9,ES2006c,208.6,A,"So they can be simple which is like uh the normal batteries in uh our uh the cells, yeah?",POSITIVE,1,Being agreeable,Showing that they are paying attention and contributing to the main idea in the conversation.,2021-01-29 14:04:30.289841+00:00
9,ES2006c,366.54,A,"uh some space design equipment, so it's kind of um uh it'll be probably nicer to use, because it relates to the overall image of the company, but uh it cannot be used on a double curved surface.",POSITIVE,1,Being respectful,"Stating idea in a respectful way, and contributing to the idea of the conversation.",2021-01-29 14:06:55.010318+00:00
9,ES2006c,481.83,A,"as we go down, obviously.",NEGATIVE,1,Being sarcastic,Just a negative statement in general towards the idea being discussed. Passive agressive.,2021-01-29 14:08:23.547374+00:00
35,ES2006c,2.37,C,Excellent.,POSITIVE,29,Being positive,Make it OK to make a mistake (and own up to it),2021-01-29 15:15:08.459655+00:00
35,ES2006c,3.5,C,"So um I sent you the agenda, it was on the in the project documents.",POSITIVE,10,Being respectful,Celebrate individualism,2021-01-29 15:15:28.138803+00:00
35,ES2006c,13.85,C,"Anyway, it's the meeting's gonna follow more or less the same structure as last time, so we'll go round each of you in turn and you can give your presentations on what you've been up to.",POSITIVE,12,Being agreeable,Focus on increasing trust.,2021-01-29 15:15:47.761675+00:00
35,ES2006c,26.15,C,"Um and at the end of that we need to discuss what you've come up with, so that we can make a decision on the key remote control concepts, so that's we need to know about the components' properties, materials, the user interface and any trends that the Marketing Expert has been watching.",POSITIVE,8,Being positive,Encourage compassion from management.,2021-01-29 15:16:06.250775+00:00
35,ES2006c,52.54,C,"Um, do you wanna start again?",POSITIVE,3,Being positive,Show employees their contribution matters.,2021-01-29 15:16:27.922833+00:00
49,ES2006c,2.37,C,Excellent.,POSITIVE,29,Being positive,"This phrase helps to motivate the members of the group, because it is a compliment, causing a feeling of work well done and increased security to communicate.",2021-01-29 16:57:37.758796+00:00
49,ES2006c,59.97,C,"You haven't made a PowerPoint, okay.",NEGATIVE,12,Causing frusturation,"This sentence causes a certain frustration, as it demonstrates that one of the participants did not fulfill one of his duties, creating an embarrassment.",2021-01-29 17:02:12.929142+00:00
53,ES2006c,10.44,C,I don't know if you got a chance to just have a look at it.,POSITIVE,6,Being respectful,This sentence showed respect regarding the schedule of the group's personal responsibilities,2021-01-29 17:03:25.034193+00:00
53,ES2006c,57.69,A,"so I haven't made a PowerPoint presentation, yeah, I I thought I'll use the whiteboard instead.",NEGATIVE,6,Causing frusturation,This shows no interest in the matter. He didn’t take the time to give a presentation that would help explain better,2021-01-29 17:09:34.136465+00:00
49,ES2006c,192.2,A,"So that's the important point here, so these are the different options that we have.",POSITIVE,4,Being respectful,"This phrase is important because it explains a general situation for everyone present, giving openings for them to participate with their opinions.",2021-01-29 17:10:24.710675+00:00
53,ES2006c,234.016,B,<sound: laugh>,NEGATIVE,8,Being sarcastic,A sarcastic laugh,2021-01-29 17:10:55.335938+00:00
49,ES2006c,148.89,A,"So you see for example a particular button attaches to a particular place on the P_C_B_ and uh on pressing this button I a circuit completes, the information goes to the chip, which is somewhere here and the chip that tra then translates the code into an infra infrared radiation, which goes goes out through there.",POSITIVE,4,Being respectful,"This phrase is important, as it explains how everyone there understands the difficulty of the situation and places them so that together they find the best solution.",2021-01-29 17:12:11.587270+00:00
53,ES2006c,253.36,B,"You could make the hand dynamo into an exercise bike, and then people could exercise whilst watching T_V_.",POSITIVE,6,Being agreeable,Suggestion of a positive option for the whole group,2021-01-29 17:13:30.554775+00:00
