user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
3,ES2006a,78.66,C,"So we've got twenty five minutes to do that, that's until eleven twenty five.",NEGATIVE,4,Causing frusturation,the time management will give tension,2021-01-29 13:58:40.217893+00:00
3,ES2006a,96.94,C,What we're aiming to do is to create a new remote control for a television.,POSITIVE,11,Being agreeable,which showes the project outcome,2021-01-29 13:59:15.019062+00:00
5,ES2006a,31.16,D,<sound: laugh>.,NEGATIVE,35,Being passive-aggressive,This laugh seems to be asserting some kind of dominance or superiority over the group.,2021-01-29 13:59:30.603652+00:00
3,ES2006a,103.73,C,"Um we want it to be something original, something trendy and also something user friendly, so it has to be quite intuitive that people are able to use this product.",POSITIVE,18,Being positive,the positive aspects of the project,2021-01-29 13:59:39.354616+00:00
3,ES2006a,167.58,C,"Um similarly with the conceptual design, we'll start off by working individually with our own expertise on our own laptops and then we'll bring what we've done together.",POSITIVE,6,Being respectful,it give the methodology to complete the project,2021-01-29 14:00:35.049851+00:00
5,ES2006a,167.58,C,"Um similarly with the conceptual design, we'll start off by working individually with our own expertise on our own laptops and then we'll bring what we've done together.",POSITIVE,6,Being positive,The person highlights that the others in the room have expertise.,2021-01-29 14:01:02.164034+00:00
3,ES2006a,188.69,A,I'm a bit confused about uh what's the difference between the functional design and conceptual design?,NEGATIVE,5,Causing annoyance,the doubt was not clearly conveyed and it is disturb the current topic,2021-01-29 14:01:33.862900+00:00
5,ES2006a,205.82,C,um area of things where you'll be we want to look at what functions we need in the remote control and what what specific things it it has to do but the conceptual design is um perhaps bigger than that and includes the how people are going to use it and and that kind of thing.,POSITIVE,8,Being respectful,The person respectfully addresses the other member's question.,2021-01-29 14:01:55.502893+00:00
5,ES2006a,352.69,C,It's got no eyes.,NEGATIVE,12,Causing embarrassment,This person is being critical the artist's work.,2021-01-29 14:03:42.703300+00:00
5,ES2006a,389.17,B,Rabbits don't come in blue but you know.,NEGATIVE,6,Causing embarrassment,This person is being unfairly critical of the person drawing to elevate themselves above that person.,2021-01-29 14:04:49.270139+00:00
