user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
806,ES2007c,110.69,D,Oh my gosh.,NEGATIVE,1,Causing annoyance,When someone says we can hold on meet for one more minute and If you show an annoyed face then it will affect the peace of the group,2021-03-29 15:07:43.218446+00:00
806,ES2007c,83.83,A,Is uh everyone ready?,POSITIVE,3,Being agreeable,Ensure a cooperation in the group when we start a meet it is must to check with every ones present.,2021-03-29 15:09:12.041168+00:00
806,ES2007c,79.27,A,Back again for another wonderful meeting.,POSITIVE,4,Being positive,Starting with a positive note on beginning meeting helps to spread positivity,2021-03-29 15:10:26.034864+00:00
806,ES2007c,163.55,A,Um alright first off we'll just uh recap from our last meeting.,POSITIVE,1,Being agreeable,This is agreeable as it is to start the meeting with giving introduction about the essence of it.,2021-03-29 15:12:46.439026+00:00
806,ES2007c,330.69,A,"sol solar panel things, do they have to work from the sun or can they work from a light bulb?",POSITIVE,1,Being agreeable,This is sharing their view point without disturbing the group thoughts and ideas,2021-03-29 15:14:38.292381+00:00
809,ES2007c,79.27,A,Back again for another wonderful meeting.,POSITIVE,4,Being positive,"They indicated enjoyment from attending previous meetings with this group, thus they are excited about this one as well.",2021-03-29 15:25:15.390359+00:00
809,ES2007c,462.82,A,"Yeah, I like that idea.",POSITIVE,4,Being agreeable,A indicated they liked and agreed with the idea that the team has suggested.,2021-03-29 15:29:11.297615+00:00
809,ES2007c,559.42,A,"I'll have a Big Mac, please.",NEGATIVE,2,Causing annoyance,A's statement could be interrupting the original conversation and the main goal of the meeting.,2021-03-29 15:31:41.854286+00:00
809,ES2007c,842.66,C,"Yeah, I'm fine with the basic battery.",POSITIVE,2,Being agreeable,C was being agreeable and supportive with B's idea to use basic battery.,2021-03-29 15:35:33.215876+00:00
809,ES2007c,845.66,A,"It's cheap, it's cheerful, it's worked, does work.",POSITIVE,4,Being supportive,A assured his team's idea to use basic battery with supportive points.,2021-03-29 15:37:13.295894+00:00
370,ES2007c,16.45,A,I said I feel like Madonna with one of these on.,POSITIVE,2,Being positive,"Everyone laughed, so this type joke could be a good ice breaker at the beginning of the meeting.",2021-03-29 18:04:11.558962+00:00
