user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
625,ES2005b,17.03,D,Okay.,POSITIVE,2,Being agreeable,It's good to give verbal and non-verbal feedback that your are listening and understanding.,2021-03-22 17:28:54.518414+00:00
625,ES2005b,52.16,C,Raring to go?,POSITIVE,1,Being agreeable,"It's always pleasant to double check with someone on their statements. It was probably hard for someone to volunteer to go first, so double-checking is a way to affirm that with them.",2021-03-22 17:30:03.819166+00:00
625,ES2005b,169.17,C,Jesus.,NEGATIVE,7,Causing frusturation,"Even if you're annoyed or frustrated, when you express that it can change how everyone else is feeling too. I would keep the exclamations, especially the more offensive ones, to myself.",2021-03-22 17:31:27.392485+00:00
625,ES2005b,53.88,C,Good stuff.,POSITIVE,6,Being positive,"This probably made B feel good  about their decision to speak up and go first as well, good job!",2021-03-22 17:32:36.102926+00:00
625,ES2005b,263.73,C,Excellent.,POSITIVE,7,Being positive,"This is a really excellent, overt, positive reinforcement for B and is good for them to hear. Keep it up!",2021-03-22 17:33:15.864424+00:00
621,ES2005b,20.07,C,are a bit uh well w what I didn't actually realise it was that the uh,NEGATIVE,2,Causing disinterest,"The constant use of ""uh"" and uncertainty of speech causes audience to be disengaged.",2021-03-22 17:51:09.948750+00:00
621,ES2005b,45.31,C,"So um, presentations, were you anybody got, raring to go?",POSITIVE,2,Being respectful,Letting others talk and present their ideas helps with engagement.,2021-03-22 17:53:22.163588+00:00
621,ES2005b,84.35,B,Sh do you want me to hold it?,POSITIVE,3,Being helpful,Offering assistance to other person benefiting both giver and receiver of help.,2021-03-22 17:55:10.659090+00:00
621,ES2005b,100.97,C,That's the wee blue one.,POSITIVE,2,Being positive,Not being annoyed and being open about repeating one's self and describing in different forms.,2021-03-22 17:56:40.318673+00:00
621,ES2005b,161.18,C,P press F_ five to start it first.,POSITIVE,1,Being helpful,Being continuously helpful without any annoyance or dismissal of speaker.,2021-03-22 17:58:22.942883+00:00
676,ES2005b,45.31,C,"So um, presentations, were you anybody got, raring to go?",NEGATIVE,2,Being sarcastic,This sarcastic setup might inhibit the other people from wanting to give their presentation.,2021-03-22 18:44:41.009647+00:00
676,ES2005b,263.73,C,Excellent.,POSITIVE,7,Being positive,They are giving an enthusiastic response to the presentation being given.,2021-03-22 18:46:22.308409+00:00
676,ES2005b,487.7,C,"Okay, thank you.",POSITIVE,4,Being respectful,This is politely acknowledging that the other person has completed their presentation.,2021-03-22 18:50:16.890093+00:00
676,ES2005b,511.09,D,I can turn my computer quickly if that's okay.,POSITIVE,5,Being positive,They are obviously having some technical difficulties and this was an effort to be helpful.,2021-03-22 18:51:19.257328+00:00
676,ES2005b,548.09,C,There you go.,POSITIVE,1,Being positive,"This was an acknowledgement that the other person got the issues fixed and was done in a positive, encouraging manner",2021-03-22 18:52:28.838299+00:00
692,ES2005b,20.07,C,are a bit uh well w what I didn't actually realise it was that the uh,NEGATIVE,2,Causing annoyance,Relaying important information but sounds hesitant and unsure about what they are saying.,2021-03-22 18:59:41.852979+00:00
692,ES2005b,32.7,C,they require that the uh actually I'll get to that at the end,NEGATIVE,2,Causing annoyance,Wasting people's time and being extremely wishy-washy. Thought process is not organized.,2021-03-22 19:00:24.831172+00:00
692,ES2005b,50.86,B,Yeah.,POSITIVE,1,Being positive,Comment is cheerful and affirms what the speaker is saying.,2021-03-22 19:01:08.236579+00:00
692,ES2005b,100.97,C,That's the wee blue one.,POSITIVE,2,Being positive,"The comment is respectful, encouraging and helpful to the person.",2021-03-22 19:02:03.579273+00:00
692,ES2005b,106.71,C,"Should do it, good one.",POSITIVE,3,Being positive,The comment is affirming and encourages the people it is directed to.,2021-03-22 19:02:37.174005+00:00
629,ES2005b,63.56,B,So how,POSITIVE,1,Being respectful,B wants to know and ask in a polite manner,2021-03-22 19:33:13.250649+00:00
629,ES2005b,78.16,A,It's a inspired design.,POSITIVE,7,Being positive,A gave a nice compliment to the design and was impressed,2021-03-22 19:35:04.939315+00:00
629,ES2005b,84.35,B,Sh do you want me to hold it?,POSITIVE,3,Being respectful,B is willing to help out and gave the team a hand,2021-03-22 19:36:05.262415+00:00
629,ES2005b,101.29,B,f oh sorry F_ eight.,POSITIVE,1,Being respectful,B apologized after he forgot what was the next step,2021-03-22 19:37:30.428228+00:00
629,ES2005b,263.73,C,Excellent.,POSITIVE,7,Being positive,C gave a nice feedback to B's speech and likes what he sees,2021-03-22 19:41:16.952192+00:00
556,ES2005b,4.04,C,"minutes from the last meeting which were essentially that we uh had decided on roles for each of you, however, um there are some changes that I've got from on high that um",POSITIVE,2,Being agreeable,The speaker is being cooperative and helping the team overall by talking about last meeting,2021-03-22 19:45:20.000122+00:00
556,ES2005b,45.31,C,"So um, presentations, were you anybody got, raring to go?",POSITIVE,2,Being positive,Using colorful language will help put the group at ease and feel more comfortable,2021-03-22 19:45:58.609875+00:00
556,ES2005b,78.16,A,It's a inspired design.,POSITIVE,7,Being positive,The speaker is praising the work of his teammate which would make them feel good,2021-03-22 19:46:41.443995+00:00
556,ES2005b,169.17,C,Jesus.,NEGATIVE,7,Causing frusturation,The speaker is growing noticeably frustrated as technical difficulties continue with setting up the meeting,2021-03-22 19:47:43.140895+00:00
556,ES2005b,374.065,A,<sound: laugh>,POSITIVE,1,Being positive,"The speaker is laughing, showing they are in a good mood and making people feel at ease",2021-03-22 19:48:26.373904+00:00
42,ES2005b,127.14,C,"Hold on, sorry.",POSITIVE,1,Being respectful,"Apologizing for the delay and issues being experienced, in a respectful fashion.",2021-03-22 20:08:52.367157+00:00
42,ES2005b,169.17,C,Jesus.,NEGATIVE,7,Cursing; making others feel uncomfortable,"Using a curse word in frustration, which could potentially make others in the room or on a call feel uncomfortable.",2021-03-22 20:09:59.341669+00:00
42,ES2005b,487.7,C,"Okay, thank you.",POSITIVE,4,Being positive,Thanking others for their work and presentations is always positive and will likely reinforce a good team environment.,2021-03-22 20:14:35.339719+00:00
42,ES2005b,511.09,D,I can turn my computer quickly if that's okay.,POSITIVE,5,Being agreeable,Offering to help out others in a situations like this will help alleviate the stress that may come in a situation like this.,2021-03-22 20:15:59.666659+00:00
42,ES2005b,511.17,B,Thank you very much Brian.,POSITIVE,5,Being respectful,"Thanking a specific member of the meeting for help they've offered is always a positive, and especially when it's done quite respectfully like this.",2021-03-22 20:16:38.881904+00:00
42,ES2005b,665.9,D,I haven't got my glasses on so I hope it's this one.,POSITIVE,2,Being positive,Making jokes like this to help lighten up the situation will help set a good mood and have a positive impact on the psychological environment.,2021-03-22 20:18:03.304545+00:00
42,ES2005b,824.79,C,That's cool.,POSITIVE,13,Being agreeable,"Offering small agreeable instances, like saying a suggestion is ""cool"" will help promote a happy environment.",2021-03-22 20:19:29.463741+00:00
42,ES2005b,992.75,C,Sorry I didn't mean to derail you there.,POSITIVE,14,Being respectful,"Apologizing respectfully like this for accidentally interruption when trying to add input will help show the other people in the meeting that nothing was meant by it, and that their voices are valued.",2021-03-22 20:21:24.906122+00:00
42,ES2005b,1049.09,C,"If you if you can build space craft you'll have no problem with a remote control, yeah.",POSITIVE,4,Being positive,"Complimenting another person like this, and suggesting that their talents will make them well suited for a task is good reinforcement.",2021-03-22 20:22:46.340585+00:00
42,ES2005b,1254.23,C,"'Kay, thank you very much, um I'll take that back.",POSITIVE,5,Being respectful,"Telling someone thank you and that you'll take their information back with them shows not only respect, but that their ideas are valued.",2021-03-22 20:24:54.976893+00:00
42,ES2005b,2242.88,D,"Oh yeah, that's a good one that.",POSITIVE,4,Being agreeable,"Agreeing with someone's idea, and telling them it's good is always a plus.",2021-03-22 20:29:53.578583+00:00
