user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
999,ES2008d,42.0,A,I'm pretty excited.,POSITIVE,6,Being positive,It shows that the person is looking forward to the meeting and could increase others energy by being said,2021-04-02 10:16:01.935997+00:00
999,ES2008d,189.89,A,"The little lightning bolt in it, very cute.",POSITIVE,5,Being positive,They like the idea being presented are encouraging the presenter,2021-04-02 10:17:28.101714+00:00
1000,ES2008d,189.89,A,"The little lightning bolt in it, very cute.",POSITIVE,5,Being positive,Your comment was very complimentary and showed that you were paying attention to B's presentation.,2021-04-02 10:20:04.987923+00:00
1000,ES2008d,264.58,D,Could the middle button of the on-screen menu function as a power button?,POSITIVE,2,Being an engaged listener,Your feedback was thoughtful and moved the conversation forward respectfully.,2021-04-02 10:22:24.710072+00:00
999,ES2008d,316.19,C,Let's pass.,NEGATIVE,2,Dismissing others,"Its hard to say but as the conversation continues they seem genuinely interested in this model of the product being presented so I'm not quite sure why C said ""lets pass"" and it seems like it could be dismissive. It definitely is discouraging to the presenter",2021-04-02 10:22:42.385668+00:00
1000,ES2008d,388.77,C,but we don't want it to look like a kids' toy,NEGATIVE,1,Causing embarrassment,Shooting down B's idea for a brightly colored device with a comparison to a child's toy was condescending and caused them to clam up.,2021-04-02 10:26:27.645061+00:00
999,ES2008d,332.09,A,Very interesting.,POSITIVE,1,Being positive,They are expressing that they like the presentation and it should encourage the person to continue and feel confident,2021-04-02 10:26:40.260859+00:00
999,ES2008d,474.64,A,"Okay, that's a fair evaluation.",POSITIVE,12,Being respectful,They have their first bit of disagreement about a possible feature and there is a bit of a back and forth but they come to an agreement respectfully and this acknowledges that,2021-04-02 10:27:42.875433+00:00
1000,ES2008d,534.0,B,"Mm yeah, that's good, that's good.",POSITIVE,8,Being positive,Your response to A's design ideas encouraged the other participants to share their feedback and furthered the discussion at hand.,2021-04-02 10:30:18.667477+00:00
1000,ES2008d,586.6,C,"It's like a deformed foot, I dunno.",NEGATIVE,10,Causing embarrassment,"Comparing a design concept to a ""deformed foot"" only serves to embarrass the person showing the concept.",2021-04-02 10:32:04.931132+00:00
1000,ES2008d,612.93,B,"I like the idea of the I mean that's really gotten the simplicity of the buttons down, that one.",POSITIVE,2,Being positive,Your continuous respectful and positive commentary encourages others in the group to feel comfortable with expressing their ideas and concepts.,2021-04-02 10:33:23.882858+00:00
1000,ES2008d,797.78,A,"I think it'll get everything done, I think it might be a little confusing at first, um, I don't know if that's gonna be a later one.",POSITIVE,1,Being respectful,You shared your concerns about the overall design while also being respectful to D's feelings.,2021-04-02 10:35:35.999856+00:00
1007,ES2008d,42.0,A,I'm pretty excited.,POSITIVE,6,Being positive,You are showing goodwill and happiness about working with this team.,2021-04-02 11:53:37.318811+00:00
